Year-Month,price
2009-07,1.495
2009-08,1.632
2009-09,1.627
2009-10,1.595
2009-11,1.705
2009-12,1.772
2010-01,1.789
2010-02,1.872
2010-03,1.822
2010-04,1.779
2010-05,1.523
2010-06,1.494
2010-07,1.441
2010-08,1.519
2010-09,1.753
2010-10,1.456
2010-11,1.675
2010-12,1.793
2011-01,1.806
2011-02,1.708
2011-03,1.732
2011-04,1.727
2011-05,1.692
2011-06,1.683
2011-07,1.647
2011-08,1.711
2011-09,1.947
2011-10,1.871
2011-11,1.836
2011-12,1.874
2012-01,1.939
2012-02,1.798
2012-03,1.774
2012-04,1.829
2012-05,1.691
2012-06,1.67
2012-07,1.648
2012-08,1.884
2012-09,1.889
2012-10,1.96
2012-11,1.963
2012-12,2.007
2013-01,1.933
2013-02,1.965
2013-03,1.925
2013-04,1.918
2013-05,1.87
2013-06,1.859
2013-07,1.833
2013-08,1.838
2013-09,1.897
2013-10,1.925
2013-11,1.925
2013-12,2.026
2014-01,2.008
2014-02,1.998
2014-03,2.061
2014-04,2.119
2014-05,1.996
2014-06,1.948
2014-07,1.95
2014-08,1.979
2014-09,1.97
2014-10,1.951
2014-11,2.032
2014-12,2.21
2015-01,2.113
2015-02,2.088
2015-03,2.133
2015-04,2.065
2015-05,1.962
2015-06,2.57
2015-07,2.57
2015-08,2.943
2015-09,2.966
2015-10,2.808
2015-11,2.664
2015-12,2.751
2016-01,2.328
2016-02,2.267
2016-03,2.081
2016-04,1.793
2016-05,1.684
2016-06,1.491
2016-07,1.546
2016-08,1.455
2016-09,1.471
2016-10,1.39
2016-11,1.321
2016-12,1.383
2017-01,1.599
2017-02,1.464
2017-03,1.404
2017-04,1.409
2017-05,1.414
2017-06,1.332
2017-07,1.333
2017-08,1.367
2017-09,1.422
2017-10,1.54
2017-11,1.506
2017-12,1.815
2018-01,1.769
2018-02,1.755
2018-03,1.831
2018-04,2.081
2018-05,1.987
2018-06,1.628
2018-07,1.725
2018-08,1.622
2018-09,1.651
2018-10,1.66
2018-11,1.596
2018-12,1.595
2019-01,1.554
2019-02,1.557
2019-03,1.544
2019-04,1.463
2019-05,1.362
2019-06,1.203
2019-07,1.243
2019-08,1.219
2019-09,1.383
2019-10,1.282
2019-11,1.405
2019-12,1.535
2020-01,1.461
2020-02,1.449
2020-03,1.525
2020-04,2.019
2020-05,1.64
2020-06,1.554
2020-07,1.401
2020-08,1.328
2020-09,1.353
2020-10,1.408
2020-11,1.45
2020-12,1.481
2021-01,1.466
2021-02,1.597
2021-03,1.625
2021-04,1.62
2021-05,1.625
2021-06,1.642
2021-07,1.642
2021-08,1.709
2021-09,1.835
2021-10,1.821
2021-11,1.718
2021-12,1.788
2022-01,1.929
2022-02,2.005
2022-03,2.046
2022-04,2.52
2022-05,2.863
2022-06,2.707
2022-07,2.936
2022-08,3.116
2022-09,2.902
2022-10,3.419
2022-11,3.589
2022-12,4.25
2023-01,4.823
2023-02,4.211
2023-03,3.446
2023-04,3.27
2023-05,2.666
2023-06,2.219
2023-07,2.094
2023-08,2.043
2023-09,2.065
2023-10,2.072
2023-11,2.138
2023-12,2.507
2024-01,2.522
2024-02,2.996
2024-03,2.992
2024-04,2.864
2024-05,2.699
2024-06,2.715
2024-07,3.08
2024-08,3.204
2024-09,3.821
2024-10,3.37
2024-11,3.649
2024-12,4.146
2025-01,4.953
2025-02,5.897
2025-03,6.227
